Date,Message
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPAUD;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPAUD;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPJPY;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPJPY;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPJPY;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPJPY;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPJPY;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPJPY;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPJPY;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPJPY;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCHF;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCHF;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCHF;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCHF;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCHF;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCHF;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCHF;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCHF;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCAD;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCAD;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCAD;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCAD;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCAD;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCAD;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCAD;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPCAD;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CHFJPY;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CHFJPY;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CHFJPY;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CHFJPY;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CHFJPY;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CHFJPY;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CHFJPY;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CHFJPY;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADCHF;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADCHF;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADCHF;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADCHF;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADCHF;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADCHF;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADCHF;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADCHF;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADJPY;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADJPY;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADJPY;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADJPY;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADJPY;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADJPY;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADJPY;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;CADJPY;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDJPY;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDJPY;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDJPY;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDJPY;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDJPY;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDJPY;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDJPY;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDJPY;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCHF;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCHF;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCHF;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCHF;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCHF;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCHF;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCHF;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCHF;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCAD;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCAD;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCAD;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCAD;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCAD;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCAD;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDCAD;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
