Date,Message
2026-08-07T21:57:00.000+01:00,GCLOSEHDR;1970-01-01 01:00;2026-08-10 03:28;304;517;8
2026-08-07T21:57:00.000+01:00,GCLOSE;85;GBPCHF;A2:14;2026-08-04 13:16;2026-08-04 13:41;3;short;2026-08-04 13:15
2026-08-07T21:57:00.000+01:00,GCLOSE;86;AUDCAD;A2:14;2026-08-04 13:43;2026-08-04 13:44;1;long;2026-08-04 13:42
2026-08-07T21:57:00.000+01:00,GCLOSE;87;USDCAD;A2:14;2026-08-04 13:57;2026-08-04 13:58;1;long;2026-08-04 13:18
2026-08-07T21:57:00.000+01:00,GCLOSE;88;CHFJPY;B2:28;2026-08-04 13:42;2026-08-04 14:17;4;short;2026-08-04 13:39
2026-08-07T21:57:00.000+01:00,GCLOSE;89;USDJPY;A2:14;2026-08-04 14:26;2026-08-04 14:27;1;short;2026-08-04 14:25
2026-08-07T21:57:00.000+01:00,GCLOSE;90;EURCHF;A2:14;2026-08-04 14:30;2026-08-04 14:31;1;short;2026-08-04 14:29
2026-08-07T21:57:00.000+01:00,GCLOSE;91;GBPJPY;A2:14;2026-08-04 14:51;2026-08-04 14:54;3;long;2026-08-04 14:42
2026-08-07T21:57:00.000+01:00,GCLOSE;92;CHFJPY;A2:14;2026-08-04 15:27;2026-08-04 15:28;1;long;2026-08-04 15:25
2026-08-07T21:57:00.000+01:00,GCLOSE;93;CADCHF;A2:14;2026-08-04 15:56;2026-08-04 15:57;1;long;2026-08-04 15:55
2026-08-07T21:57:00.000+01:00,GCLOSE;94;CHFJPY;B2:28;2026-08-04 16:12;2026-08-04 16:14;2;short;2026-08-04 15:44
2026-08-07T21:57:00.000+01:00,GCLOSE;95;GBPAUD;A2:14;2026-08-04 16:16;2026-08-04 16:17;1;long;2026-08-04 15:35
2026-08-07T21:57:00.000+01:00,GCLOSE;96;CADCHF;B2:28;2026-08-04 16:24;2026-08-04 16:26;2;long;2026-08-04 16:00
2026-08-07T21:57:00.000+01:00,GCLOSE;97;EURCAD;A1:13;2026-08-04 16:41;2026-08-04 16:42;1;long;2026-08-04 16:20
2026-08-07T21:57:00.000+01:00,GCLOSE;98;GBPUSD;A2:14;2026-08-04 16:42;2026-08-04 16:43;1;long;2026-08-04 16:33
2026-08-07T21:57:00.000+01:00,GCLOSE;99;AUDCHF;A2:14;2026-08-04 17:24;2026-08-04 17:25;1;long;2026-08-04 17:18
2026-08-07T21:57:00.000+01:00,GCLOSE;100;CADJPY;A2:14;2026-08-04 18:12;2026-08-04 18:13;1;long;2026-08-04 18:11
2026-08-07T21:57:00.000+01:00,GCLOSE;101;AUDJPY;A2:14;2026-08-04 18:12;2026-08-04 18:13;1;long;2026-08-04 18:11
2026-08-07T21:57:00.000+01:00,GCLOSE;102;AUDCHF;A1:13;2026-08-04 18:21;2026-08-04 18:26;2;long;2026-08-04 17:45
2026-08-07T21:57:00.000+01:00,GCLOSE;103;EURUSD;A2:14;2026-08-04 19:48;2026-08-04 19:56;2;long;2026-08-04 19:47
